Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Samples
2,22,31,230,238,0.1017274472168906,0.0873015873015873,0.08461538461538462,0.11877394636015326,0.0859375,0.06006336212158203,0.06006336212158203,521
3,8,65,196,252,0.1401151631477927,0.0392156862745098,0.03076923076923077,0.24904214559386972,0.034482758620689655,0.01987600326538086,0.01987600326538086,521
4,28,98,163,232,0.2418426103646833,0.14659685863874344,0.1076923076923077,0.37547892720306514,0.12416851441241686,0.01902937889099121,0.01902937889099121,521
5,26,98,163,234,0.2380038387715931,0.13756613756613756,0.1,0.37547892720306514,0.11581291759465479,0.018590927124023438,0.018590927124023438,521
6,0,192,69,260,0.3685220729366603,0.0,0.0,0.735632183908046,0,0.01866745948791504,0.01866745948791504,521
7,0,192,69,260,0.3685220729366603,0.0,0.0,0.735632183908046,0,0.021242856979370117,0.021242856979370117,521
8,260,80,181,0,0.6525911708253359,0.5895691609977324,1.0,0.3065134099616858,0.7417974322396576,0.021489620208740234,0.021489620208740234,521
9,0,259,2,260,0.4971209213051823,0.0,0.0,0.9923371647509579,0,0.024475812911987305,0.024475812911987305,521
10,0,259,2,260,0.4971209213051823,0.0,0.0,0.9923371647509579,0,0.02661442756652832,0.02661442756652832,521
11,0,259,2,260,0.4971209213051823,0.0,0.0,0.9923371647509579,0,0.026706457138061523,0.026706457138061523,521
12,0,259,2,260,0.4971209213051823,0.0,0.0,0.9923371647509579,0,0.034772634506225586,0.034772634506225586,521
13,0,259,2,260,0.4971209213051823,0.0,0.0,0.9923371647509579,0,0.05933356285095215,0.05933356285095215,521
14,0,259,2,260,0.4971209213051823,0.0,0.0,0.9923371647509579,0,0.06376981735229492,0.06376981735229492,521
15,1,260,1,259,0.5009596928982726,0.5,0.0038461538461538464,0.9961685823754789,0.0076335877862595426,0.2782573699951172,0.2782573699951172,521
16,1,260,1,259,0.5009596928982726,0.5,0.0038461538461538464,0.9961685823754789,0.0076335877862595426,2.728205919265747,2.728205919265747,521
17,1,260,1,259,0.5009596928982726,0.5,0.0038461538461538464,0.9961685823754789,0.0076335877862595426,2.795142412185669,2.795142412185669,521
18,1,260,1,259,0.5009596928982726,0.5,0.0038461538461538464,0.9961685823754789,0.0076335877862595426,3.127087116241455,3.127087116241455,521
19,1,260,1,259,0.5009596928982726,0.5,0.0038461538461538464,0.9961685823754789,0.0076335877862595426,3.2595856189727783,3.2595856189727783,521
2,317,478,43,204,0.7629558541266794,0.8805555555555555,0.6084452975047985,0.9174664107485605,0.7196367763904654,0.06833767890930176,0.06833767890930176,1042
3,317,478,43,204,0.7629558541266794,0.8805555555555555,0.6084452975047985,0.9174664107485605,0.7196367763904654,0.06096148490905762,0.06096148490905762,1042
4,459,330,191,62,0.7571976967370442,0.7061538461538461,0.8809980806142035,0.6333973128598849,0.7839453458582407,0.061841487884521484,0.061841487884521484,1042
5,54,191,330,467,0.23512476007677544,0.140625,0.1036468330134357,0.3666026871401152,0.11933701657458565,0.06141257286071777,0.06141257286071777,1042
6,54,183,338,467,0.22744721689059502,0.1377551020408163,0.1036468330134357,0.3512476007677543,0.11829134720700986,0.062055349349975586,0.062055349349975586,1042
7,466,333,188,55,0.7667946257197696,0.7125382262996942,0.8944337811900192,0.6391554702495201,0.7931914893617021,0.06173396110534668,0.06173396110534668,1042
8,372,384,137,149,0.72552783109405,0.730844793713163,0.7140115163147792,0.7370441458733206,0.7223300970873786,0.06921792030334473,0.06921792030334473,1042
9,513,207,314,8,0.690978886756238,0.6203143893591294,0.9846449136276392,0.39731285988483683,0.7611275964391692,0.07047533988952637,0.07047533988952637,1042
10,0,324,197,521,0.31094049904030713,0.0,0.0,0.6218809980806143,0,0.07007288932800293,0.07007288932800293,1042
11,0,518,3,521,0.4971209213051823,0.0,0.0,0.9942418426103646,0,0.09398198127746582,0.09398198127746582,1042
12,0,518,3,521,0.4971209213051823,0.0,0.0,0.9942418426103646,0,0.11713695526123047,0.11713695526123047,1042
13,6,521,0,515,0.5057581573896354,1.0,0.011516314779270634,1.0,0.022770398481973434,0.13495802879333496,0.13495802879333496,1042
14,6,521,0,515,0.5057581573896354,1.0,0.011516314779270634,1.0,0.022770398481973434,0.18274164199829102,0.18274164199829102,1042
15,1,520,1,520,0.5,0.5,0.0019193857965451055,0.9980806142034548,0.0038240917782026763,1.6643471717834473,1.6643471717834473,1042
16,1,521,0,520,0.5009596928982726,1.0,0.0019193857965451055,1.0,0.0038314176245210726,15.589847803115845,15.589847803115845,1042
17,1,521,0,520,0.5009596928982726,1.0,0.0019193857965451055,1.0,0.0038314176245210726,15.215306758880615,15.215306758880615,1042
18,1,521,0,520,0.5009596928982726,1.0,0.0019193857965451055,1.0,0.0038314176245210726,55.930848360061646,55.930848360061646,1042
19,1,521,0,520,0.5009596928982726,1.0,0.0019193857965451055,1.0,0.0038314176245210726,66.69391107559204,66.69391107559204,1042
2,723,698,84,58,0.909149072296865,0.895910780669145,0.9257362355953905,0.8925831202046036,0.9105793450881613,0.1716136932373047,0.1716136932373047,1563
3,466,712,70,315,0.7536788227767115,0.8694029850746269,0.5966709346991037,0.9104859335038363,0.7076689445709946,0.173994779586792,0.173994779586792,1563
4,695,481,301,86,0.7523992322456814,0.6977911646586346,0.8898847631241997,0.6150895140664961,0.7822172200337647,0.17483901977539062,0.17483901977539062,1563
5,706,481,301,75,0.7594369801663468,0.7010923535253227,0.9039692701664532,0.6150895140664961,0.7897091722595078,0.17465662956237793,0.17465662956237793,1563
6,94,254,528,687,0.22264875239923224,0.15112540192926044,0.1203585147247119,0.3248081841432225,0.13399857448325017,0.1745610237121582,0.1745610237121582,1563
7,228,216,566,553,0.2840690978886756,0.2871536523929471,0.2919334186939821,0.27621483375959077,0.28952380952380957,0.17488813400268555,0.17488813400268555,1563
8,9,484,298,772,0.31541906589891233,0.029315960912052116,0.011523687580025609,0.618925831202046,0.016544117647058824,0.19637823104858398,0.19637823104858398,1563
9,0,780,2,781,0.4990403071017274,0.0,0.0,0.9974424552429667,0,0.2147676944732666,0.2147676944732666,1563
10,0,780,2,781,0.4990403071017274,0.0,0.0,0.9974424552429667,0,0.2550315856933594,0.2550315856933594,1563
11,0,781,1,781,0.4996801023672425,0.0,0.0,0.9987212276214834,0,0.3346071243286133,0.3346071243286133,1563
12,0,781,1,781,0.4996801023672425,0.0,0.0,0.9987212276214834,0,0.3944532871246338,0.3944532871246338,1563
13,0,781,1,781,0.4996801023672425,0.0,0.0,0.9987212276214834,0,0.5019264221191406,0.5019264221191406,1563
14,0,781,1,781,0.4996801023672425,0.0,0.0,0.9987212276214834,0,0.40586137771606445,0.40586137771606445,1563
15,0,781,1,781,0.4996801023672425,0.0,0.0,0.9987212276214834,0,1.492326021194458,1.492326021194458,1563
16,0,781,1,781,0.4996801023672425,0.0,0.0,0.9987212276214834,0,6.450913190841675,6.450913190841675,1563
17,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,316.8143479824066,316.8143479824066,1563
18,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,314.990385055542,314.990385055542,1563
19,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,314.2275400161743,314.2275400161743,1563
2,81,117,925,961,0.09500959692898273,0.0805168986083499,0.07773512476007678,0.11228406909788867,0.0791015625,0.3032503128051758,0.3032503128051758,2084
3,637,942,100,405,0.7576775431861804,0.864314789687924,0.6113243761996161,0.9040307101727447,0.716132658797077,0.30423808097839355,0.30423808097839355,2084
4,113,396,646,929,0.2442418426103647,0.14888010540184454,0.10844529750479846,0.3800383877159309,0.1254858411993337,0.30538201332092285,0.30538201332092285,2084
5,95,396,646,947,0.2356046065259117,0.1282051282051282,0.09117082533589252,0.3800383877159309,0.10656197420078518,0.30438804626464844,0.30438804626464844,2084
6,918,703,339,124,0.777831094049904,0.7303102625298329,0.8809980806142035,0.6746641074856046,0.7986080904741191,0.30454301834106445,0.30454301834106445,2084
7,742,750,292,300,0.7159309021113244,0.7176015473887815,0.7120921305182342,0.7197696737044146,0.7148362235067438,0.3051114082336426,0.3051114082336426,2084
8,0,1039,3,1042,0.4985604606525912,0.0,0.0,0.9971209213051824,0,0.3450303077697754,0.3450303077697754,2084
9,0,1039,3,1042,0.4985604606525912,0.0,0.0,0.9971209213051824,0,0.3868069648742676,0.3868069648742676,2084
10,0,1041,1,1042,0.4995201535508637,0.0,0.0,0.9990403071017274,0,0.5491616725921631,0.5491616725921631,2084
11,0,1041,1,1042,0.4995201535508637,0.0,0.0,0.9990403071017274,0,0.7067804336547852,0.7067804336547852,2084
12,0,1041,1,1042,0.4995201535508637,0.0,0.0,0.9990403071017274,0,0.7493493556976318,0.7493493556976318,2084
13,0,1041,1,1042,0.4995201535508637,0.0,0.0,0.9990403071017274,0,1.0860707759857178,1.0860707759857178,2084
14,0,1041,1,1042,0.4995201535508637,0.0,0.0,0.9990403071017274,0,1.5790367126464844,1.5790367126464844,2084
15,0,1041,1,1042,0.4995201535508637,0.0,0.0,0.9990403071017274,0,0.9644997119903564,0.9644997119903564,2084
16,0,1041,1,1042,0.4995201535508637,0.0,0.0,0.9990403071017274,0,6.912750720977783,6.912750720977783,2084
17,0,1041,1,1042,0.4995201535508637,0.0,0.0,0.9990403071017274,0,5.142384767532349,5.142384767532349,2084
18,1,1042,0,1041,0.5004798464491362,1.0,0.0009596928982725527,1.0,0.0019175455417066156,857.033590555191,857.033590555191,2084
19,0,1042,0,1042,0.5,0,0.0,1.0,0,854.8656706809998,854.8656706809998,2084
2,791,1178,125,511,0.7558541266794626,0.8635371179039302,0.6075268817204301,0.9040675364543361,0.7132551848512174,0.5106949806213379,0.5106949806213379,2605
3,791,1178,125,511,0.7558541266794626,0.8635371179039302,0.6075268817204301,0.9040675364543361,0.7132551848512174,0.5101385116577148,0.5101385116577148,2605
4,144,504,799,1158,0.24875239923224568,0.15270413573700956,0.11059907834101383,0.38679969301611666,0.12828507795100225,0.5113801956176758,0.5113801956176758,2605
5,123,506,797,1179,0.24145873320537428,0.13369565217391305,0.0944700460829493,0.3883346124328473,0.11071107110711072,0.5113930702209473,0.5113930702209473,2605
6,157,427,876,1145,0.22418426103646832,0.15198451113262343,0.1205837173579109,0.32770529547198773,0.13447537473233406,0.5108139514923096,0.5108139514923096,2605
7,905,957,346,397,0.7147792706333973,0.7234212629896083,0.695084485407066,0.7344589409056025,0.708969839404622,0.5122840404510498,0.5122840404510498,2605
8,0,1300,3,1302,0.4990403071017274,0.0,0.0,0.9976976208749041,0,0.5781497955322266,0.5781497955322266,2605
9,0,1300,3,1302,0.4990403071017274,0.0,0.0,0.9976976208749041,0,0.6452794075012207,0.6452794075012207,2605
10,0,1302,1,1302,0.4998080614203455,0.0,0.0,0.9992325402916347,0,1.116715669631958,1.116715669631958,2605
11,0,1302,1,1302,0.4998080614203455,0.0,0.0,0.9992325402916347,0,1.300924301147461,1.300924301147461,2605
12,0,1302,1,1302,0.4998080614203455,0.0,0.0,0.9992325402916347,0,1.233159065246582,1.233159065246582,2605
13,0,1302,1,1302,0.4998080614203455,0.0,0.0,0.9992325402916347,0,1.588590145111084,1.588590145111084,2605
14,0,1302,1,1302,0.4998080614203455,0.0,0.0,0.9992325402916347,0,1.4569263458251953,1.4569263458251953,2605
15,0,1302,1,1302,0.4998080614203455,0.0,0.0,0.9992325402916347,0,3.5631604194641113,3.5631604194641113,2605
