Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error,Samples
ibm_brisbane,2,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,249.16571164131165,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,2,27,257,4,233,0.54510556621881,0.8709677419354839,0.10384615384615385,0.9846743295019157,0.18556701030927836,137.2577748298645,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,3,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,401.45897817611694,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,3,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,401.13640880584717,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,4,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,628.5848650932312,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,4,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,628.8036072254181,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,5,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,921.1994540691376,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,5,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,922.5322244167328,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,6,162,185,76,98,0.6660268714011516,0.680672268907563,0.6230769230769231,0.7088122605363985,0.6506024096385542,1071.1666052341461,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,6,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,1226.5573575496674,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,7,257,0,261,3,0.4932821497120921,0.49613899613899615,0.9884615384615385,0.0,0.660668380462725,1620.322675704956,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,7,257,0,261,3,0.4932821497120921,0.49613899613899615,0.9884615384615385,0.0,0.660668380462725,1620.990403175354,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,8,260,0,261,0,0.4990403071017274,0.4990403071017274,1.0,0.0,0.6658130601792573,2039.7077417373657,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
