Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error,Samples
ibm_brisbane,2,15,173,88,245,0.36084452975047987,0.14563106796116504,0.057692307692307696,0.6628352490421456,0.08264462809917354,172.86012530326843,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,3,188,173,88,72,0.6928982725527831,0.6811594202898551,0.7230769230769231,0.6628352490421456,0.7014925373134329,331.68622851371765,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,4,79,176,85,181,0.4894433781190019,0.4817073170731707,0.3038461538461538,0.6743295019157088,0.37264150943396224,541.327446937561,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,5,136,187,74,124,0.6199616122840691,0.6476190476190476,0.5230769230769231,0.7164750957854407,0.5787234042553192,807.7976250648499,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,6,65,187,74,195,0.4836852207293666,0.4676258992805755,0.25,0.7164750957854407,0.3258145363408521,1144.3677611351013,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,7,0,228,33,260,0.43761996161228406,0.0,0.0,0.8735632183908046,0,1587.268723487854,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,8,185,181,80,75,0.7024952015355086,0.6981132075471698,0.7115384615384616,0.6934865900383141,0.7047619047619047,2173.3200447559357,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,9,68,112,149,192,0.345489443378119,0.31336405529953915,0.26153846153846155,0.42911877394636017,0.28511530398322854,3041.791613817215,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,10,0,228,33,260,0.43761996161228406,0.0,0.0,0.8735632183908046,0,4358.385952949524,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,2,204,43,478,317,0.23704414587332054,0.2991202346041056,0.3915547024952015,0.08253358925143954,0.33915211970074816,736.7696480751038,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,1042
